,SRR5962198,SRR5962199,SRR5962200,SRR5962201,SRR5962202,SRR5962203,SRR5962204,SRR5962205,SRR5962206,SRR5962207,SRR5962208,SRR5962209,SRR5962210,SRR5962211,SRR5962212,SRR5962213,SRR5962214,SRR5962215,SRR5962216,SRR5962217,SRR5962218,SRR5962219,SRR5962220,SRR5962221,SRR5962222,SRR5962223,SRR5962224,SRR5962225,SRR5962226,SRR5962227,SRR5962228,SRR5962229,SRR5962230,SRR5962231,SRR5962232,SRR5962233,SRR5962234,SRR5962235,SRR5962236,SRR5962237,SRR5962238,SRR5962239,SRR5962240,SRR5962241
ENSG00000262712,0,0,4,8,6,12,18,8,3,0,38,16,38,0,48,73,19,19,38,0,19,33,6,6,22,20,14,77,7,11,6,3,18,9,14,17,17,8,11,14,19,37,47,27
ENSG00000262714,3,3,22,0,32,0,40,3,17,0,11,8,14,3,33,95,36,11,35,0,71,37,0,32,51,14,27,178,25,139,59,6,14,3,14,19,24,46,68,55,80,101,108,85
ENSG00000248211,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10
ENSG00000280001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000259832,0,0,3,2,0,0,2,0,3,0,0,0,3,0,18,3,3,13,3,3,2,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,10,12,0,0,2,0,2,12
ENSG00000248213,8,6,18,34,25,22,35,15,11,2,109,44,22,14,43,163,84,81,106,40,159,23,0,29,32,31,24,117,54,14,8,21,81,13,33,27,88,53,99,24,77,95,120,58
ENSG00000037042,191,80,347,648,434,317,1030,278,204,155,624,403,90,142,198,866,1103,925,553,457,748,327,0,180,338,161,419,979,431,441,270,258,652,91,419,73,154,181,553,734,1448,673,917,54
ENSG00000260622,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,10
ENSG00000260621,6,5,8,4,18,0,11,0,0,3,16,9,0,0,10,21,27,0,29,7,49,7,0,6,16,3,21,59,16,17,8,0,36,0,12,0,13,12,17,9,0,9,47,19
ENSG00000260626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,11,5,0,0,0,0,0,8
ENSG00000078487,36,11,113,214,134,80,370,41,63,25,169,65,41,57,52,178,276,244,135,177,260,57,0,87,112,86,126,398,231,262,27,151,129,27,139,25,84,52,218,169,295,159,443,50
ENSG00000260625,0,0,14,14,0,0,48,8,6,0,21,19,6,0,15,6,31,14,13,0,7,17,0,5,13,17,13,29,22,69,9,6,6,0,34,0,20,14,16,25,11,24,14,24
ENSG00000248215,0,0,0,0,19,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,12,19,8,0,0,0,0,0,0,0,5,26,0,0,0,0,0,37
ENSG00000260628,3,0,0,0,0,0,33,0,0,0,0,3,0,0,35,0,26,0,12,0,10,0,0,0,0,0,0,23,10,4,0,0,6,0,0,0,11,29,10,0,0,0,0,31
ENSG00000260629,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,14,30,0,0,0,0,0,12
ENSG00000042753,184,133,435,606,184,288,2098,398,164,157,100,303,139,373,296,681,826,837,460,603,630,1054,28,239,539,256,717,1279,780,776,241,404,549,224,540,213,537,403,574,1197,721,939,423,378
ENSG00000196096,0,0,6,0,29,0,6,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,90,9,0,0,0,0,0,0,0,6,6,12,0,0,0,0,14
ENSG00000248216,8,9,11,37,35,5,37,6,16,11,28,15,0,11,14,42,73,27,48,9,80,11,3,14,24,3,23,92,44,32,8,19,36,11,7,21,33,39,32,57,61,44,53,89
